Naptan_Atco,Stop_Name
490000266G,WESTMINSTER STN <> / PARLIAMENT SQUARE_G
490013793E,TREVOR CLOSE_G
490000108F,HIGHBURY CORNER_F
490000108B,HIGHBURY & ISLINGTON STATION <> #_B
490012451S,ST MARY MAGDALENE CHURCH_T
490012451N,ST MARY MAGDALENE CHURCH_S
490000114Y,HOLLOWAY ROAD STATION <>_SY
490000114U,HOLLOWAY ROAD STATION <>_SU
490009485R,LYNWOOD ROAD_R
490009485Q,LYNWOOD ROAD_Q
490003803W,WOOLWICH ROAD / BEDONWELL ROAD_G
490003803E,WOOLWICH ROAD / BEDONWELL ROAD_D
490011348E,QUEENS ROAD_A
490012751E,ST JOSEPH'S CHURCH
490012751W,ST JOSEPH'S CHURCH
490014411W,ELM ROAD / NEW MALDEN BAPTIST CHURCH
490006079E,ARCHDALE PLACE_D
490003361W,CALIFORNIA ROAD_H
490014286E,WATERS ROAD_B
490004703W,CAMBRIDGE GROVE_L
490014039E,VICARAGE HOUSE
490001237G,RAYNES PARK STATION #_S
490012452W,SHEEN ROAD / KINGS ROAD_SF
490012452SH,ST MARY'S GROVE_SH
490005340K,CLAPTON POND_K
3700083,CEDAR WAY
490009035E,CLAPTON POND_E
3700085,DITTON PARK ROAD
490006047D,CHAPTER ROAD_DK
490004989C,CHAPTER ROAD_DG
490013229P,ST JOHN STREET / GOSWELL ROAD_P
490013149K,TALLY HO CORNER_K
490000127KA,KILBURN PARK STATION <>_KA
490000127KB,KILBURN PARK STATION <>_KB
490013254J,FAIRLAWN AVENUE_J
490010117W,MULGRAVE ROAD_BD
490007053E,FULHAM POOLS_BL
490010101S,THIRLMERE GARDENS_J
490003351Q,QUEEN'S GROVE_A
490007622M,GLYN ROAD_M
490007622L,GLYN ROAD_L
490011336S,QUEEN'S GROVE_U
490001197A,MORDEN SOUTH STATION #_MK
490001197B,MORDEN SOUTH STATION #_MA
490004960N,CHALGROVE AVENUE_MJ
490004647E,BUSHEY ROAD / GRAND DRIVE_M
490004647N,BUSHEY ROAD_N
490004647S,BUSHEY ROAD_T
490009036S,LEA BRIDGE ROAD_MT
490013205W,THAMES AVENUE_MH
490009668N,LEA BRIDGE ROAD_MD
490004188S,ST SAVIOUR'S CHURCH_MS
490001014B,BARNES STATION #_B
490011346N,QUEEN'S ROAD
490009667N,MARKHOUSE AVENUE_K
490009667S,MARKHOUSE AVENUE_J
490007974N,HAZELWOOD ROAD_B
490014166R,WALTHAMSTOW MARKET_C
490001014A,BARNES STATION #_A
490009306S,LONGFIELD AVENUE_BK
490000024A,BLACKHORSE ROAD STATION <> #_BA
490000024B,BLACKHORSE ROAD STATION <> #_BB
490004103N,PRIESTLEY WAY_BF
490006928S,FOREST ROAD_BH
490006928N,FOREST ROAD_BE
490004103S,BLENHEIM ROAD_BT
490012034N,SHAKESPEARE ROAD_BM
490011183S,PRIESTLEY WAY_BS
490005353N,CLARENCE ROAD_BN
490009019E,LAWRENCE AVENUE
490014940S,WORCESTER ROAD
490009019W,LAWRENCE AVENUE
490008134E,HIGHAM HILL ROAD
490008134W,HIGHAM HILL ROAD
490007597E,GUILDSWAY
490010345E,NORTH COUNTESS ROAD
490007597W,GUILDSWAY
490009759E,WALTHAMSTOW ACADEMY_CM
490010345W,NORTH COUNTESS ROAD
490009759W,WALTHAMSTOW ACADEMY_CL
490004905W,CECIL ROAD_CK
3700077,KAYWOOD CLOSE
490007596K,BANK STATION <> / POULTRY_K
490006616E,ERITH FIRE STATION_S
490006616W,ERITH FIRE STATION_T
490003959S,BEULAH SPA_SD
490003959N,BEULAH SPA_NH
490003497E,AVENUE ROAD_G
490003497W,AVENUE ROAD_D
490012521E,STAMFORD BROOK BUS GARAGE_H
490012521PP,STAMFORD BROOK BUS GARAGE_PP
490005210SS,CHISWICK POLICE STATION_SS
490005423FF,CLIFTON GARDENS_FF
490012434HH,ST ANN'S ROAD_HH
490012434HK,ST ANN'S ROAD_HK
490013739M,TOTTENHAM TOWN HALL_V
490007093W1,WOOLWICH ROAD / GALLIONS ROAD
490011849RB,SADLER'S WELLS THEATRE_UC
490008264S,ST MARY OF ETON CHURCH_L
490008264N,ST MARY OF ETON CHURCH_N
490011849RA,SADLER'S WELLS THEATRE_UB
490008109T,HESA ROAD_T
490013979Q,THE GRAPES_Q
490006951N,FORTUNE GREEN_CM
490014468S,WEST HAMPSTEAD POLICE STATION_CK
490015102C,LEA BRIDGE ROAD / BAKERS ARMS_EH
490015102D,LEA BRIDGE ROAD / BAKERS ARMS_WE
490013485S1,THE OLD VIC_S
490013485N,THE OLD VIC_Q
490000094B,GUNNERSBURY STATION <> #_B
490003269N,ALPHA CLOSE_LC
490011716S,LONDON BUSINESS SCHOOL_LB
490006008W,DEAN STREET / CHINATOWN_W
490015239K,HOLBORN STATION <>_K
490010001S,MONTPELIER ROAD_SQ
490010149J,HOLLAND RD / KENSINGTON OLYMPIA STN <> #_M
490012357W2,VESTRY ROAD_V
490010305E,NORLAND SQUARE_HK
490000113G,HOLLAND PARK STATION <>_HB
490006437HE,EDITH GROVE_HE
490007055HK,FULHAM ROAD / CHELSEA & WESTMINSTER HOSP_HK
490006437HB,EDITH GROVE_HB
490003726E,FULHAM ROAD / BEAUFORT STREET_HH
490006514N,OLD CHURCH STREET_HJ
490015411N,SPUR ROAD / ORPINGTON WAR MEMORIAL_N
490011165S,PRATTS BOTTOM / SEVENOAKS ROAD
490000119M,HYDE PARK CORNER STATION <>_M
490006514S,OLD CHURCH STREET_HQ
490015411L,SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL_L
490010603N,ONSLOW SQUARE_HT
490014077E,VILLAGE GREEN ROAD
490013537W,THE RISE
490012543E,STANHAM PLACE
490013433S,THE JOLLY FARMERS OPEN SPACE
490010603S,ONSLOW SQUARE_HV
490013433N,MILL PLACE
490010950W,PERRY STREET
490010950E,PERRY STREET
490006670W,EVERSLEY CROSS
490006670E,EVERSLEY CROSS
490009597W,NORTHALL ROAD / MANOR WAY
490009597E,PARKSIDE AVENUE / MANOR WAY
490010356W,BRIDGE ROAD / NORTHEND ROAD
490010928E,PENTON STREET_PK
490010928W,PENTON STREET / CHAPEL MARKET_PN
490007598N,COLEY STREET_HD
490007598S,COLEY STREET_HC
490000123B,KENTISH TOWN STATION <> #_KF
490000123A,KENTISH TOWN STATION <> #_KB
490015290S,COOMBE ROAD_R
490015290N,COOMBE ROAD_N
490005575N,BIRDHURST GARDENS_H
